kepoi_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_duration,koi_depth,koi_prad,koi_srad,koi_teq,koi_steff,koi_slogg,koi_smet,koi_kepmag,koi_model_snr,koi_num_transits
K05679.01,FALSE POSITIVE,FALSE POSITIVE,,615.81928,14.93,168.0,1.24,0.955,221.0,6120.0,4.489,-0.22,13.027,11.0,
K05680.01,CANDIDATE,CANDIDATE,,557.92882,4.788,262.2,2.97,1.844,300.0,5553.0,3.805,-0.9,13.263,8.1,
K05681.01,CANDIDATE,CANDIDATE,,77.51257,3.15,1510.0,28199.3,3.63,702.0,5261.0,3.459,-0.38,15.677,5.8,
K05682.01,CANDIDATE,CANDIDATE,,46.969389,1.944,1875.0,7.45,1.717,638.0,5401.0,3.885,-0.52,16.224,7.1,
K05683.01,FALSE POSITIVE,FALSE POSITIVE,0.041,0.512581525,2.54719,384482.0,42.41,0.604,1541.0,4612.0,4.648,-0.6,14.884,1583.7,2611.0
K05684.01,CANDIDATE,CANDIDATE,,206.801125,6.6,716.0,24.34,8.611,675.0,5048.0,2.978,0.21,11.128,16.7,
K05685.01,CANDIDATE,CANDIDATE,,14.0019064,4.257,376.1,17.96,6.502,1646.0,4883.0,2.783,-0.46,13.814,11.6,
K05804.01,FALSE POSITIVE,FALSE POSITIVE,0.0,1.42796645,12.8653,6012.3,39.76,0.919,1637.0,6099.0,4.511,-0.28,13.731,347.6,750.0
K05805.01,CANDIDATE,CANDIDATE,0.0,525.757041,4.995,830.2,11.07,3.931,372.0,5277.0,3.495,0.14,14.519,14.4,3.0
K05806.01,CANDIDATE,CANDIDATE,,313.82752,4.187,168.0,1.26,0.973,272.0,5914.0,4.453,-0.12,12.355,8.7,
K05807.01,CANDIDATE,CANDIDATE,,236.09799849,3.65,,,,,,,,14.466,,
K05808.01,FALSE POSITIVE,FALSE POSITIVE,,70.61977122,2.09,,,,,,,,15.341,,
K05809.01,FALSE POSITIVE,FALSE POSITIVE,,216.10910854,3.95,,,,,,,,13.771,,
K05810.01,CANDIDATE,CANDIDATE,,425.593391,3.815,237.6,2.25,1.441,278.0,5458.0,4.09,0.07,13.766,6.5,
K05811.01,FALSE POSITIVE,FALSE POSITIVE,,44.51439331,1.55,,,,,,,,14.424,,
K05431.01,CANDIDATE,CANDIDATE,,43.08410127,1.38,,,,,,,,13.782,,
K05432.01,FALSE POSITIVE,FALSE POSITIVE,,230.80401566,3.57,,,,,,,,15.673,,
K05433.01,CANDIDATE,CANDIDATE,0.562,237.819002,11.324,614.2,2.55,1.035,302.0,5878.0,4.424,0.08,14.573,15.4,6.0
K05434.01,CANDIDATE,CANDIDATE,,581.87357,14.64,905.6,2.96,0.992,218.0,5897.0,4.489,0.21,15.738,12.5,
K05435.01,CANDIDATE,CANDIDATE,0.995,15.9961296,1.656,500.7,1.71,0.777,560.0,4949.0,4.588,0.24,15.951,10.7,68.0
K05436.01,FALSE POSITIVE,FALSE POSITIVE,0.0,28.297207229,3.94247,23193.1,54.15,1.151,713.0,6327.0,4.277,-0.64,12.796,2360.6,49.0
K05437.01,CANDIDATE,CANDIDATE,,213.63312404,2.54,,,,,,,,13.885,,
K05438.01,FALSE POSITIVE,FALSE POSITIVE,,412.227551,4.303,819.5,21.53,7.684,529.0,5079.0,2.977,-0.14,13.926,9.0,
K05559.01,FALSE POSITIVE,FALSE POSITIVE,,586.63177,7.299,199.9,1.18,0.854,189.0,5228.0,4.471,-0.06,13.416,8.4,
K05560.01,FALSE POSITIVE,FALSE POSITIVE,,364.95068,0.636,824.0,3.69,0.884,241.0,5574.0,4.438,-0.36,12.975,5.8,
K05561.01,FALSE POSITIVE,FALSE POSITIVE,,44.36123319,2.49,,,,,,,,15.621,,
K05562.01,FALSE POSITIVE,FALSE POSITIVE,,438.00974,11.46,79.2,0.73,0.717,197.0,5260.0,4.56,-0.58,11.504,8.6,
K05563.01,CANDIDATE,CANDIDATE,0.654,7.62210397,1.902,146.1,3.8,3.162,1422.0,5222.0,3.556,-0.26,13.629,9.2,173.0
K05564.01,FALSE POSITIVE,FALSE POSITIVE,0.0,3.479508244,3.9097,3000.4,444.46,12.623,3167.0,4630.0,2.437,-0.06,10.565,195.7,386.0
K05565.01,FALSE POSITIVE,FALSE POSITIVE,,406.29695,5.32,136.5,1.85,1.566,315.0,6031.0,4.103,0.06,12.011,10.7,
K05566.01,CANDIDATE,CANDIDATE,1.0,0.9886684,2.023,126.6,3.18,2.773,3183.0,6456.0,3.725,-0.12,12.551,8.7,34.0
K05686.01,FALSE POSITIVE,FALSE POSITIVE,0.0,3.34465934,10.796,57.6,1.17,1.551,1559.0,5966.0,4.069,-0.16,13.596,24.3,414.0
K05687.01,FALSE POSITIVE,FALSE POSITIVE,,513.14417,14.13,223.8,1.3,0.837,208.0,5709.0,4.557,-0.18,14.334,7.9,
K05688.01,CANDIDATE,CANDIDATE,0.886,14.5555096,2.07,725.0,2.03,0.738,594.0,5176.0,4.612,-0.18,16.897,8.1,54.0
